"","x"
"184","@ChelseaParlett And it seems, the closer to the end of the year the better.... they know their grades are locked in, so the marginal gains are no longer there. They've ""paid"" for their A- or B+, and another 30 minutes of lecture won't change that."
"185","Lets assume tuition costs 1$ per minute of lecture per student.

Every time my kid texts me something like ""Good news!  Class finished 30 minutes early!"", I'm thinking ""Where's our 30$ refund?""

We wouldn't put up with that with music lessons. Why the difference @ChelseaParlett ?"
"186","While some of that is based on the difference in his spin axis point (his 2-seamer is also thrown with a heavy amount of gyro), some of it is based just on the different seam orientation.

Here we see how his 4- and 2-seam curveballs move. https://t.co/dOIO66xr2y"
"187","Tyler Wells has two clear seam orientations for his curveball: one that is close to a 4-seamer (in red) and another close to a 2-seamer (in orange, really a one seamer).

How does this affect his pitch movement? https://t.co/vMbBwxgSwv https://t.co/a5IsNkl498"
"188","@SSBMasterdingus Excellent question!  We cross-posted:

https://t.co/Atbnuxw40p"
"189","Indeed, all the pitches are represented 4 times, since you can hold the ball ""upside down"": instead of seeing the ""League"" label in a legible manner, you can hold the ball so the label is upside down.

The cluster of his 4-seamers hides this fact a little."
"190","If we treat the ""League"" label as Null Island (0 lat, 0 long), you can see that the 4-seamer can also be thrown at 0 lat, 180 long).  Just grab a baseball, and you can see the ball spinning along the neck of the baseball at both ends.

That's why you see data duplicated."
"191","Thats the spin axis point (think North Pole).

The third image shows static baseball with ""league"" label in middle, and next to it is ""Earth"" representation of a globe (Mollweide format).

The red dots you see there are the spin axis points of the 4-seamers thrown by Tyler Wells."
"192","#Statcast Describing 4-seam orientation in Mollweide Projection

First video shows a baseball spinning in 4-seam orientation, from the catcher perspective.

Second video is if you were standing on the 1B line.  The key point is that the ball is spinning around the ""League"" label. https://t.co/hGTcMdkmRP"
"193","@pobguy @theaceofspaeder @Bbl_Astrophyscs https://t.co/s6G99Wz6Cg

Just to confirm that numbers from the original thread.  And now adding the extra key one, which is the distance.

The top chart is for 23-25 degrees launch, where 2022  does not look out of place at all.

The bottom chart is 33-35 degrees launch. https://t.co/bAcftxLT4S"
"194","Blog Post: NHL realignment: Insane Proposal https://t.co/EH2QzlhFXQ"
"195","#Statcast Barrels are strictly defined by the combination of Exit Velocity and Launch Angle, regardless of season or park.

See the glossary here: https://t.co/3nAp9LQfsa

For those who want the actual specifics, see post 37 here:
https://t.co/ee3WQtGpB5 https://t.co/Owpd8kKikW"
"196","There's two types of ways that hockey players think... https://t.co/cMAWUmbpWO"
"197","In 1955, Ted Kennedy won the Hart for MVP.  He subsequently retired.

He was the last Leafs player to win MVP.

Leafs fans are going to be insufferable when Auston wins, even after their eventual 1st round loss."
"198","@pobguy @samnarotsky Here's a handy chart as well: https://t.co/1Jd58lfRuE"
"199","Here was the shortest one in 2021... sometimes, you just don't get the spin you want.

https://t.co/axGvPeLinV"
"200","https://t.co/7wu7ylmfxp

We can see the median distance in 2021 was 393 feet.  The 95% range was 340-424 feet, and that includes all temperatures and elevations.

So if you see a ball hit at 363 feet today, that's not going to tell you anything at all."
"201","https://t.co/lbEuWkUSwV

93% hits, means 7% outs

66% HR, means 34% won't clear the fence https://t.co/P69Lx4zS97"
"202","@redsoxslutRBW It does.

I didn't look at this one, but you should realize the optimal spin rate is going to be 2000-2500 rpm or something.  Too low or too high a spin rate will cause it to lose distance."
"203","@GonnelliRich You wouldn't want him at bat, or on the bases.  They weren't able to figure out how to keep him on the bench"
"204","@richie_bambara @PeteBlackburn And your point being?

https://t.co/dBbpu3N9O7"
"205","@AllenDowney Pitch speeds are reported at release, since 2017.  Prior to that, they were reported at 50 feet from home plate.

The speed at plate crossing is ~92% of the speed at release."
"206","@shanna_shi I once had to get my prescription get redone three times, because they wrote ""108"" instead of ""168"".  The 0 and 6 looked sorta similar in a rushed doctor's note script."
"207","Nice! https://t.co/WMpbJMNQiW"
"208","In 1987, Tim Raines was IBB 12 times in 81 games, as pitchers preferred to face... the cleanup hitter."
"209","One of the few sports takes that is not narrative-building... https://t.co/cJJCl5mx99"
"210","@PeteBlackburn https://t.co/HHqqJun40Q"
"211","@DQuinn1575 @RyanSides Low-cost education works in Canada

NO-cost education works in Europe

So, working successful models at low- or no-cost can be emulated.  Obviously, the big business schools in USA don't want to adopt those models."
"212","@ironhorse0619 I see.  We don't have that issue here, because we lidar the whole ballpark.

Is that something actively being discussed over there?"
"213","When we were looking at colleges for my kid, I asked a Montreal friend living in Toronto about costs in Toronto.

His reply: ""Very expensive!  10K per year!""

In Montreal, it's 5K per year.

Higher Education in America is a business, first and foremost. https://t.co/y4CMp68pjD"
"214","@ironhorse0619 Do you mean existing mounds, or testing different mounds?"
"215","@BallySportsNOR Watch the play above.  From a PROCESS standpoint (so ignore the ultimate outcome), who made the *worse* play?

Sano for being so far off 1B, while existing runner on 2B

Urshela for going toward 3B, while existing runner on 3B"
"216","@BallySportsNOR Watch the play above.  Who made the *worst* of the 4 plays?

A. Grossman in RF

B. Sano for being so far off 1B, while existing runner on 2B

C. Urshela for going toward 3B, while existing runner on 3B

D. Catcher Haase for throwing to 3B, while the runner was standing on 3B"
"217","@dougglanville Now here's the tough one... what should the catcher have done here?

I *think* he should have ran toward 2B, holding the ball, then see what to do as play develops.

Throwing it as quickly as he did, and to 3B, seems to have been another poor decision.

What do you think? https://t.co/ddDAGBb39q"
"218","Seems to me that the runner now at 2B should have stayed put.  To the extent that Sano was a sitting duck, I don't think the catcher makes that throw to 1B, given there was no fielder coverage there.  

What should runner now at 2B have done @dougglanville https://t.co/PwK0fpgeXa"
"219","@AudacityOfHoops If you insist on being more technical: of the three runners on base, the runner on 1B has to be closest to his base than the other two are to their bases.  He can't be the farthest from his base. https://t.co/TClpDvT7k0"
"220","When it comes to the box of

Good | Bad Process 
          X 
Good | Bad Results 

This play will check the Bad Process + Good Results in all future textbooks, sports or not."
"221","https://t.co/oHjuO0iVUf https://t.co/oD9Gjnw5KB"
"222","... interested in more of the technology can watch the SABR presentation from 2020 here:

https://t.co/i8Tcxdc3zE

Or a summary article here:
https://t.co/GkWPV9pDU6"
"223","By tracking the pitch from release to the plate crossing with high speed cameras, we can establish both the position and the time of the ball.  As we know the change in position divided by the change in time is speed.

Therefore, there is no ""hot"" or ""cold"" ""gun"". 

Those... https://t.co/7CjRb2yEKK"
"224","@PplSaysImSmart @thorn_john I really don't know how to contribute to this discussion.

If you have a specific (terse) question, I can give you a specific (terse) answer.

Otherwise, I will have to bow out of this thread."
"225","Blog Post: Statcast: Three reasons for positional adjustments - Reason 2 https://t.co/wxxX7jjfPB"
"226","@camarcano I don't remember if it's in the csv download. 

As for ""measured"" or ""calculated"", that's a tough one.  It's measured as far as we track it, then using physics, we ""calculate"" it to its projected landing spot."
"227","@ToirtapB If I poll individual fans, the results would be very different from the experts. Fans dont suffer groupthink"
"228","@ToirtapB My problem with these forecasts is everyone takes ""the favorite"".  Even if team has 60% chance of winning, you can't have 90% of voters select that team. Simply means all are processing information same way. I don't need 40% to vote for some other team, but 20-30% would be good"
"229","Had Wayne Gretzky retired when he was 28 years old, he'd STILL be the career leader in points in the NHL.

The next three players all played into their 40s. https://t.co/eSalGS46oU"
"230","@starkeeey Oh, we have a contender!  This sounds like we need a @JPosnanski take..."
"231","When you don't have diversity of opinion, this is what you get... https://t.co/2Y0Q2wZONG"
"232","""You da man"" I think is worse.  

Especially as they try to time it exactly at point of contact on a golf swing. https://t.co/NO3pimgeYC"
"233","This is for the ""goalies were so bad back then, lol"" twitter crowd.

Most goalies today would not have been goalies yesteryear.  But we'd have different people of today being goalies back then.

People adapt, so be careful how you compare players across eras. https://t.co/lrutK4XWMT"
"234","@PMoehringer I was thinking @dcone36 ..."
"235","Gretzky was on five... https://t.co/7FOaYSqmrK"
"236","Haha, even Bruins players still laugh at Marchand, I love it! https://t.co/fEDU8qW63T"
"237","It seems we're always one generation behind where we need to be... https://t.co/nsNSesykHm"
"238","McDavid is currently at 118 points, with 3 games to go... https://t.co/rcnNQei4HU"
"239","FIELDERS OBSTRUCTION

RUNNERS, you are in a rundown, and you see the fielders not get out of the way after the throw, ALWAYS RUN INTO THEM

The baseline *only exists* at the point a fielder with the ball is trying to get you out. Ball is in air, you can run anywhere you want. https://t.co/pG6hIYm6bg"
"240","@Stat_Ron That cluster in the infield up the middle gets to the point Ron is making.  I agree, I am not a fan of dots overlapping.Indeed, I'd be in favor of resizing the dots based on their frequency

I'm not a fan of heatmaps in many cases because you end up smoothing things you shouldn't"
"241","@Stat_Ron 2015-present, basehits only

https://t.co/CKDuOeo0S1 https://t.co/ucjD5nrtkh"
